candidate_id,"x [nm]","y [nm]",Δx [nm],Δy [nm],p,"t [ms]",Δt [ms],N_events,x_dim [px],y_dim [px],t_dim [ms],fit_info,frame
8487,37703.14030837529,33483.40280895502,8.7408478578811,8.458648624575925,0,770953.8051777768,54.44814273466675,51,5,5,164.631,1,768977
8488,35372.5742431145,31671.36769465002,14.289264065353077,13.505416810901966,0,770983.9194666668,27.410513457118835,17,4,5,96.784,TimeRuntimeError: Optimal parameters not found: The maximum number of function evaluations is exceeded.,769007
8490,38251.08375821669,34986.40840607206,8.08367945086797,8.407152924238675,0,771244.9909292399,32.58032666882645,39,5,4,167.853,1,769268
8492,36033.06313544072,34736.71609633084,8.896730047600602,7.560915050367852,0,771538.6007272727,52.52774631665229,36,5,5,174.144,TimeRuntimeError: Optimal parameters not found: The maximum number of function evaluations is exceeded.,769562
8493,40868.57039449361,34918.31280407113,13.662600865406933,40.7425403564845,0,771545.6259668348,4205.116341508823,8,3,2,38.176,1,769569
8494,36577.89652750195,33596.74514369997,11.524958177428093,34.376066948904025,0,771668.902997109,211121.61212209522,12,4,3,93.452,1,769692
8495,33638.501684715426,33041.461071892285,36.47718766078937,27.573863072931086,0,772339.7453460159,4059.430398026069,12,3,3,80.81,1,770363
8496,36281.50373647352,34145.03027235598,7.924134859118951,12.867683656938329,0,772382.1635658309,1747.3842115612886,47,4,5,197.233,1,770405
8497,37375.028628846696,29880.451318568623,8.757599528222586,6.91442835511778,0,772690.4584306092,10.67993722266506,36,4,5,132.68,1,770713
8498,37337.33150121381,29755.628415814444,22.746630786465335,37.26286624572275,0,772852.6513941288,8.831162677544345,11,5,3,91.557,1,770876
8501,36267.5309497688,31441.15767363874,7.133192457031818,7.754406478741055,0,773821.0682232409,2234.479784608707,60,5,8,200.219,1,771844
8502,36533.08742609333,33647.72508244756,9.900676732907218,11.087206633560863,0,774494.3416164741,48597.32592169436,37,5,5,199.363,1,772517
8503,37552.07858413983,32954.66034307667,10.741494079903225,10.544753743840525,0,774674.6708440391,5.015337036893028,14,3,2,58.381,1,772698
8504,37226.629679593156,29866.696825178376,8.272504599770468,11.87850086502182,0,774712.2283452937,0.45373894517346663,21,4,4,133.184,1,772735
8505,39633.40286599643,28972.54104978761,12.788605100360002,11.684577533374762,0,774789.0691717424,238.62156578531744,22,4,4,106.785,1,772812
8506,37727.78951100086,33476.34681056863,9.185349960942261,9.29267168036116,0,774943.3460075477,3510.0812296310046,39,5,6,200.233,1,772966
8507,36810.84385610436,35535.18638748852,6.672430719364605,6.403743072725842,0,775210.37317042,143.26792648872313,43,4,5,212.514,1,773233
8508,33219.06330043259,34474.36856179928,6.303824730954704,6.704511928896428,0,775804.0050813295,589.6129832928863,51,5,5,207.579,1,773827
8509,37265.60417337243,33548.66099519019,55.749396433797244,26.903298608710095,0,775923.0821789119,928.7653533175513,10,4,3,87.402,1,773946
8510,35946.68448682352,29385.002672874212,9.882076233389334,7.230721055066977,0,776373.0543614678,18.338791966044248,28,5,3,115.364,1,774396
8512,40778.92931357562,31875.151626861596,8.457233156100349,13.764853389908062,0,777105.0099350121,150.24996216436602,27,4,4,150.876,1,775128
8513,37378.923495981544,29866.010534276837,8.229476913061193,6.870480549062657,0,777208.299548387,48.62406106222368,59,6,8,223.996,TimeRuntimeError: Optimal parameters not found: The maximum number of function evaluations is exceeded.,775231
8514,35922.28981543813,29419.935442102098,18.041114618597117,10.60981516531566,0,777271.0158217816,17.889582103473646,18,4,3,89.305,1,775294
8515,40623.49878099636,33946.41732315875,18.95708111006134,18.37562602904288,0,777577.2259826448,720429.2281577352,10,3,2,77.922,1,775600
8517,38045.74589267205,33123.78842550595,9.101248545991934,7.666346149907559,0,777607.4109764206,34914.486065666926,43,5,4,229.282,1,775630
8518,34157.02045546836,34003.92504768278,8.907521825274685,12.911539257515038,0,777853.9148241184,4630.6502800990465,12,3,3,106.8,1,775877
8519,37302.76685633363,29870.10265549163,6.897702703316671,8.808451319220064,0,778097.5856666667,39.53284486207512,32,5,5,139.046,TimeRuntimeError: Optimal parameters not found: The maximum number of function evaluations is exceeded.,776121
8520,40089.92441688113,29892.734206912446,7.548814454560187,7.503652658055503,0,778417.7998546093,37.30914443065016,51,5,5,160.663,1,776441
8521,34257.492284068205,32533.961158858758,5.242367037808567,4.814054395677902,0,778938.2555399687,35.54651672941869,69,6,7,177.322,1,776961
8522,37910.92968678328,32505.452855185787,15.984950884941131,14.331693235854637,0,779114.8337333332,40.40395419339815,18,5,4,138.76,TimeRuntimeError: Optimal parameters not found: The maximum number of function evaluations is exceeded.,777138
8524,40738.63154277745,29737.378238342448,10.017033432989473,8.933437062895417,0,779429.5342746373,489.9265218260761,29,5,5,127.495,1,777453
8525,35401.360005765935,31573.129760682605,8.68213130403603,8.371173389912862,0,779903.8323986015,36.97292254273606,29,3,4,133.107,1,777927
8526,37792.73433182464,35832.13242660103,11.4081653326894,55.84605089811532,0,779938.2054640638,709.3354135453919,14,2,4,95.595,1,777961
8527,35416.20104012713,31586.65301853314,33.1792078561901,52.4081768825919,0,780070.74746041,9943.027110446908,15,5,4,125.12400000000001,1,778094
8530,36191.99470309464,34755.67778318114,7.476118503937127,7.476010028683683,0,781773.5440038502,12.71708865172945,69,7,7,230.922,1,779797
8531,38208.19192630342,33207.352199602,9.071866289178406,14.338452585873524,0,781789.5109018489,447.98316069544757,19,3,4,71.416,1,779813
8532,35729.806843989754,28440.850442329545,8.484094811249763,8.357912919182166,0,782313.1426785713,53.384012968741146,48,4,6,176.903,TimeRuntimeError: Optimal parameters not found: The maximum number of function evaluations is exceeded.,780336
8534,40657.66488534279,31598.514205118983,11.361446663919622,19.59517105648295,0,782595.005062007,12.703832757646195,44,6,6,181.149,1,780618
8536,40948.019751339976,34770.00716305356,12.932300830300754,42.28188097575058,0,783572.1232282566,934958699.9262779,8,3,2,55.137,1,781595
8538,37527.07088098163,32961.6336167152,8.559487866608453,8.926456243384154,0,783837.2098204835,4.216825929198779,45,5,5,256.01800000000003,1,781860
8539,40598.84765142467,33965.01199244796,6.149050226946117,5.869717347112107,0,783889.2439422598,3.1962059026090506,43,5,5,166.582,1,781912
8540,40630.18656178061,33894.35449147998,26.770897478108722,37.48465399509767,0,784133.5917508395,3905.1625292858835,15,6,4,69.447,1,782157
8541,36418.80874238725,28205.585724178338,8.272423193625842,8.309948914312015,0,784270.3284202863,13.499337645407124,43,4,5,156.133,1,782293
8543,36641.27415824311,29569.324487582093,7.244229834689628,7.007152901846988,0,785198.3720979332,0.6291664200875955,63,6,6,272.995,1,783221
8544,34385.06135172855,29764.779024798423,5.467767457588301,6.069127939789035,0,785277.2138445482,9.50786459311795,75,6,6,243.735,1,783300
8545,34576.22662101063,30605.618948138857,11.198712254650525,10.417290823224128,0,785309.369098311,88693.07911372186,35,5,5,126.96300000000001,1,783332
8546,36248.48392598874,31544.502178402712,8.696367445024649,16.64158149908075,0,785704.4751693244,21188.73729862042,27,4,4,126.85300000000001,1,783727
8547,38189.258969637754,33187.644803136616,6.040153490022989,5.947149127631399,0,785764.1786241541,6.842469140734224,65,6,6,231.86100000000002,1,783787
8548,38841.24522312079,31261.268796521214,19.15295632872266,14.032189255973012,0,785832.7497877035,9173.200858179987,24,4,3,111.408,1,783856
8549,39633.715057056164,28999.352776462227,6.012834557362597,5.959129807465594,0,786168.8008219183,9.537695560970459,63,6,6,238.816,1,784192
8550,36545.227797420106,33640.02018575351,19.830496015292894,19.056132399371975,0,786926.1228379087,2745.514990730249,14,3,3,45.27,1,784949
8551,36554.77734035817,33678.413457205126,7.755404175737429,9.85443902648072,0,787261.752,38.52480769674833,45,6,5,181.92000000000002,TimeRuntimeError: Optimal parameters not found: The maximum number of function evaluations is exceeded.,785285
8552,39865.06706527078,33235.14076921917,6.705369774234468,6.520431350759834,0,787605.5903895479,127.93680683081857,58,6,6,151.153,1,785629
8553,40833.71606037302,31739.150157771757,21.02538289463313,71.73026887666526,0,787763.7449792972,1635055.3101080034,18,4,4,106.217,1,785787
8554,37802.05220816374,30511.24454935504,12.275209648213794,15.142324134254178,0,787788.1292307692,53.2533937223507,21,4,3,156.93200000000002,TimeToleranceWarning: Estimated time out of bounds.,785811
8555,38040.19737779562,33128.16355111504,11.98215129200483,9.754380489939127,0,787776.7880118977,17.95350977057353,40,5,4,213.131,1,785800
8556,39955.776883727856,28160.81955608409,8.861141027706243,9.18770163224794,0,788346.2317217416,86.82329367898798,46,5,5,205.089,1,786369
8558,36435.53166253171,28196.73422393475,4.378010789183288,4.371288737544589,0,788793.4726784767,15.776636917820886,104,6,8,237.33100000000002,1,786816
8559,34586.64226006039,30591.12590907178,9.430848127299882,10.387336107892288,0,788935.9911208446,92.47921265819416,29,4,5,122.22500000000001,1,786959
8560,40952.8872167998,34881.70961216604,13.912112419159504,7.786617743447877,0,789503.2873562144,0.19774993119776782,69,7,5,241.101,1,787526
8561,33261.427162109394,33911.96734908264,10.393293728891155,11.43399225960094,0,789623.3359870986,4130.058897183908,20,3,4,125.452,1,787646
8562,37284.492995441324,29861.18046110798,7.328524864973124,7.159557157956087,0,790603.8423539313,34.008923829265015,42,5,5,152.611,1,788627
8563,34794.042211079344,34800.25164208294,8.55074697790795,7.871005232335973,0,790931.7086319613,617.9415633146832,41,5,5,185.51500000000001,1,788955
8564,38194.140406609426,34839.16692354424,8.642489410250167,7.398890950077572,0,791072.1082742886,64.93373779855534,32,4,5,151.022,1,789095
8565,36005.531241491866,29421.25843085058,9.181048921327776,8.685092485436437,0,791319.6692709661,46286.61813790968,31,4,5,155.223,1,789343
8567,41022.58970559996,34665.036883760455,65.87332133097378,8.568610478335563,0,792092.2411053868,7.435807003095946,36,5,3,124.06400000000001,1,790115
8568,36269.24134215462,31444.70449006486,6.847171819599868,7.2428541284802765,0,792126.122696271,7.5020291883901695,44,5,5,174.735,1,790149
8569,34845.32626729414,34872.7775799003,7.713011210137122,6.560885832346787,0,792406.9602719543,79.93162718152831,58,6,6,220.423,1,790430
8572,37890.35361135577,35776.94083181249,18.415139885314844,18.261506707322056,0,792621.4294484886,2271.418484656913,29,4,6,157.53300000000002,1,790644
8573,37268.10982867133,29867.023808633116,12.937615177741124,10.114907658361263,0,792589.3244863101,479.3780935228353,31,4,5,114.09100000000001,1,790612
8575,35399.922066334584,31574.990285766078,7.594248572900998,7.1405716066754295,0,792829.0329479111,0.24485802027536888,48,5,4,195.385,1,790852
8576,39575.21730704851,28964.261499068103,8.77248875454513,7.102884730407264,0,792983.5956762051,636.8719428146528,36,5,5,188.061,1,791007
8577,40612.72845653544,31589.928893917127,10.768155477167433,10.327955622803646,0,793211.1016902691,342.3209868024501,22,3,4,108.566,1,791234
8580,36112.010741689555,34596.61093442849,8.126006077147581,6.747535044919671,0,793550.045925369,600.7665133164844,41,4,5,184.88400000000001,1,791573
8582,38265.39823094965,34982.78666416986,5.879369643579812,5.87303559713463,0,794271.9818760914,134.57699041958645,66,7,6,214.858,1,792295
8584,39212.462232220074,30927.209990306423,9.865428600370196,10.132259616866703,0,795319.5895126541,626958.4574448963,26,5,4,155.862,1,793343
8587,34508.51402834142,30582.364894395265,72.45038187361442,16.11341137094509,0,796016.7366003259,8748.816234576741,18,4,3,101.377,1,794040
8588,41018.92872684993,33565.663969008616,38.21152853333827,7.001205231870261,0,796029.6973141261,87.62283845369483,56,5,4,255.686,1,794053
8590,37703.300668227566,33486.374357913206,26.976387368988068,14.590400122677796,0,796989.7280827819,179.56130252076474,21,4,4,116.575,1,795013
