candidate_id,"x [nm]","y [nm]",Δx [nm],Δy [nm],p,"t [ms]",Δt [ms],N_events,x_dim [px],y_dim [px],t_dim [ms],frame
169,36980.31746031746,33074.28571428572,93.4347791194776,86.36787846670197,1,20742.25614451503,3.9587557647607294,63,5,6,59.048,18765
170,36510.68493150685,31526.575342465752,103.95374059599499,99.75612973348188,1,20824.86823987802,73.63901201045337,73,7,7,79.92,18848
171,36526.51162790698,31549.767441860462,108.06724265270776,120.80136246137991,1,20911.774972834755,24.512598561666678,43,7,6,89.791,18935
172,38062.857142857145,32251.428571428572,96.46824580648075,66.63945022680343,1,21046.742733060702,8565.985052108088,14,4,5,17.349,19070
173,39398.0,28666.0,75.86830695356262,96.97422337920526,1,21177.809642196717,17982.980284007783,40,7,5,91.18900000000001,19201
174,40244.545454545456,33136.36363636363,89.73330549858552,91.18141031359878,1,21140.793962008145,30.36305637911411,88,7,6,67.749,19164
175,40253.17647058824,33101.17647058824,109.65412751766756,114.88522932455251,1,21227.67367647059,17.536538074278702,85,7,8,77.212,19251
176,36368.69565217391,31440.0,77.30821137701868,97.26700141989261,1,21317.09946604697,417.9170585723527,23,5,5,33.634,19340
177,40236.73469387755,33129.795918367345,79.11210736055979,97.82303463800973,1,21478.070174622855,3256.758594618871,49,7,5,41.32,19501
178,40226.666666666664,33160.0,82.19218670625303,97.97958971132712,1,21506.443211123857,40.73944688356652,24,5,4,20.75,19529
179,36198.709677419356,34495.48387096774,83.46302776152893,108.3256354158212,1,21654.761030637717,726.2910546315971,31,6,4,63.961,19678
180,40201.81818181818,29667.272727272724,79.06478147330509,118.09787228403621,1,21923.374970887828,12.821658298432888,44,7,5,71.468,19946
181,39527.27272727273,30800.0,104.88876437713424,107.87197799411872,1,22009.299529918164,4420.323811770386,11,5,5,81.527,20032
182,37025.454545454544,33040.0,95.38092398984729,90.2521719708426,1,22033.54910746029,182.1310110668057,11,5,5,46.031,20057
183,37236.666666666664,33930.0,95.16068282413465,96.0902353693305,1,22222.64103303347,900.8207656122231,24,5,6,62.199,20246
184,35460.833333333336,33470.833333333336,86.59853090876055,98.23087882919279,1,22421.859654343112,2.6596325775685696,96,7,5,76.968,20445
185,33666.666666666664,28800.0,71.80219742846006,166.5332799572906,1,22782.936333333335,12.210126980866466,6,7,3,32.697,20806
186,36654.117647058825,32922.35294117647,95.98154378527596,78.17998929805248,1,22998.2171053143,324.1718064312655,17,5,6,19.931,21021
187,36659.649122807015,32878.596491228076,87.73894516821213,104.3516086761606,1,23007.378960264927,0.450881013456849,57,7,6,28.622,21030
188,36342.857142857145,31428.571428571428,82.41260058203403,89.98866141727783,1,23170.488533333333,14.922257299602807,21,5,4,54.918,21193
189,38981.81818181818,31119.09090909091,107.01046523317935,97.60351572044797,1,23233.68717238386,102.59437580206566,88,6,7,76.37,21257
190,38934.73684210526,31063.15789473684,120.49758333687736,129.6575502329501,1,23306.93964153715,335.4009091488283,38,7,7,84.21900000000001,21330
191,38968.0,31216.0,126.237870704476,150.94369811290565,1,23367.209758652563,19921991.721877147,10,7,6,95.087,21390
192,38236.0,33006.0,104.23051376636306,87.42997197757758,1,23572.50658910931,237.4099489327492,40,5,7,58.049,21596
193,38046.4,32294.4,100.03519380697975,88.27593103445581,1,23663.693818951542,171.90096610206058,50,7,6,43.596000000000004,21687
194,38235.348837209305,33010.232558139534,110.03908052521142,114.47531209611283,1,23606.963799378707,11.636471247200099,86,7,7,98.667,21630
195,36490.0,31552.222222222223,116.1895003862225,90.09597077903807,1,23717.87195181882,2.9689469450888044,72,7,7,90.69500000000001,21741
196,37837.142857142855,30480.0,101.37825713834386,77.08992893275452,1,23863.60412661018,1349.1449689542005,28,5,5,37.605000000000004,21887
197,37022.857142857145,33005.71428571428,96.46824580648075,83.98250546685183,1,24355.59454401588,268.16979117434937,14,5,5,27.016000000000002,22379
198,39732.6582278481,28820.25316455696,94.30235322995699,102.99286792985211,1,24531.035785194326,25.069087009018187,79,6,6,71.664,22554
199,33824.0,33520.0,128.0,50.59644256269407,1,25424.740749999997,14.556909826179352,5,3,5,85.643,23448
200,36988.23529411765,33014.117647058825,98.71142100424956,103.98296373639695,1,25720.755807217676,2.3153299293445935,34,6,7,44.143,23744
201,37657.142857142855,32785.71428571428,85.14093957572194,102.65853841840962,1,25884.148783238114,179.66147641003073,28,6,5,29.448,23907
202,37637.27272727273,32800.0,107.16095872275575,109.21205394677241,1,25905.75983343958,12.875797066625212,88,7,7,97.497,23929
203,34057.5,29542.5,83.02860952707806,87.71402396424418,1,26179.73611585905,1871.4105049854686,32,6,5,96.802,24203
204,37301.666666666664,29695.0,91.99939613328388,88.928810479694,1,26121.907131065203,1.5047965211276109,48,5,6,46.052,24145
205,37017.93103448276,34914.02298850575,96.8009918614816,93.66680701239056,1,26133.610208923517,183.3824192537108,87,6,6,76.351,24157
206,34062.399999999994,29539.2,107.67655269370394,113.76888854163954,1,26208.669871342652,107.41076724939094,50,8,6,53.795,24232
207,37025.35211267605,34920.56338028169,126.17706076997784,125.14653184824625,1,26206.249302543292,41.20429186318828,71,8,7,99.146,24229
208,39785.098039215685,33697.25490196078,78.39999372297913,96.77299962470387,1,26350.38796299102,10.996803843422773,51,6,4,63.695,24373
209,37573.333333333336,32756.923076923078,105.37681673059546,107.7069587103596,1,26521.93746935378,212.8125328838666,78,7,7,84.33500000000001,24545
210,38347.77777777778,34718.88888888889,93.48532597600281,92.8492738491852,1,26512.937023650713,82.75569857946475,72,6,6,93.60000000000001,24536
211,38352.0,34708.0,117.02991070662236,136.87950905814938,1,26611.381410596197,11.708983182434858,20,7,6,27.538,24634
212,38333.793103448275,34720.0,100.90670983818968,89.1337623249849,1,26730.74162683351,1406.0700590811116,29,6,7,66.025,24754
